id,category,confidence,activities,activities_confidence
7022,3. Software Development,10,"['3.2. Code generation', '3.7. Code optimization', '3.5. Code understanding']","[10, 9, 8]"
3570,4. Software Quality Assurance,9,"['4.1. Vulnerability detection', '2.1. System/architecture design', '3.1. Code completion', '3.8. Code assistant']","[9, 7, 8, 8]"
3357,3. Software Development,10,"['3.7. Code optimization', '4.2. Test generation or automation']","[10, 7]"
4193,3. Software Development,10,"['3.2. Code generation', '3.1. Code completion']","[10, 9]"
3405,3. Software Development,10,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation']","[10, 9, 9]"
6277,3. Software Development,10,"['3.2. Code generation', '3.1. Code completion', '3.3. Code summarization', '3.5. Code understanding', '3.8. Code assistant']","[10, 8, 4, 5, 9]"
2932,3. Software Development,10,"['3.1. Code completion', '3.2. Code generation', '5.8. Code transformation or modernization']","[10, 9, 8]"
833,5. Software Maintenance,10,"['5.7. Code translation', '5.8. Code transformation or modernization']","[10, 10]"
1321,5. Software Maintenance,10,"['5.7. Code translation', '5.8. Code transformation or modernization']","[10, 9]"
5310,3. Software Development,10,"['3.2. Code generation', '4.6. Verification']","[10, 7]"
897,3. Software Development,10,"['3.1. Code completion', '3.2. Code generation']","[10, 9]"
3668,4. Software Quality Assurance,9,"['4.3. Debugging', '5.5. Code refactoring or revision', '5.4. Software operations']","[9, 8, 7]"
419,3. Software Development,10,"['3.1. Code completion', '3.3. Code summarization', '3.5. Code understanding', '3.8. Code assistant', '5.3. Code review']","[10, 7, 6, 8, 7]"
1180,4. Software Quality Assurance,10,['4.6. Verification'],[10]
1306,3. Software Development,10,"['3.2. Code generation', '3.1. Code completion', '3.5. Code understanding']","[10, 8, 5]"
1313,3. Software Development,9,"['3.2. Code generation', '3.8. Code assistant']","[9, 8]"
2537,4. Software Quality Assurance,9,"['4.2. Test generation or automation', '4.4. Static analysis', '5.3. Code review', '5.4. Software operations']","[9, 8, 6, 5]"
5127,5. Software Maintenance,10,['5.8. Code transformation or modernization'],[10]
769,5. Software Maintenance,10,"['5.8. Code transformation or modernization', '5.5. Code refactoring or revision']","[10, 9]"
835,3. Software Development,9,"['3.2. Code generation', '3.5. Code understanding', '4.2. Test generation or automation']","[9, 8, 9]"
356,5. Software Maintenance,10,"['5.3. Code review', '3.5. Code understanding']","[10, 8]"
632,3. Software Development,10,"['3.2. Code generation', '3.1. Code completion', '3.8. Code assistant']","[10, 10, 8]"
1289,3. Software Development,9,"['3.2. Code generation', '4.2. Test generation or automation', '5.5. Code refactoring or revision', '6.1. Effort estimation']","[9, 7, 6, 4]"
1337,3. Software Development,10,"['3.2. Code generation', '3.1. Code completion', '3.3. Code summarization', '3.4. Code search', '3.5. Code understanding', '3.6. API recommendation for coding', '3.8. Code assistant', '2.3. User interface design', '4.2. Test generation or automation']","[10, 8, 5, 3, 7, 4, 9, 9, 8]"
6498,3. Software Development,9,"['3.2. Code generation', '2.3. User interface design', '6.1. Effort estimation']","[9, 8, 6]"
157,3. Software Development,10,['3.1. Code completion'],[10]
6585,3. Software Development,9,"['3.2. Code generation', '3.3. Code summarization', '3.7. Code optimization']","[9, 4, 6]"
5321,3. Software Development,9,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation', '3.3. Code summarization', '3.4. Code search', '3.5. Code understanding', '3.6. API recommendation for coding']","[9, 8, 7, 6, 6, 7, 5]"
5625,5. Software Maintenance,9,"['5.4. Software operations', '5.5. Code refactoring or revision', '6.1. Effort estimation']","[9, 3, 2]"
375,3. Software Development,10,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation', '5.5. Code refactoring or revision', '6.1. Effort estimation']","[10, 9, 8, 7, 5]"
1653,4. Software Quality Assurance,9,"['4.1. Vulnerability detection', '4.4. Static analysis', '3.2. Code generation']","[9, 8, 7]"
4842,3. Software Development,9,"['3.8. Code assistant', '3.2. Code generation', '4.2. Test generation or automation', '5.5. Code refactoring or revision']","[9, 8, 7, 7]"
6586,3. Software Development,9,"['3.2. Code generation', '3.5. Code understanding', '3.4. Code search', '4.2. Test generation or automation', '2.1. System/architecture design', '2.3. User interface design']","[9, 7, 5, 8, 6, 5]"
5465,4. Software Quality Assurance,10,"['4.3. Debugging', '5.1. Program repair', '4.2. Test generation or automation']","[10, 9, 8]"
831,5. Software Maintenance,10,['5.8. Code transformation or modernization'],[10]
1551,3. Software Development,9,"['3.2. Code generation', '3.1. Code completion', '2.3. User interface design', '4.5. GUI testing', '6.1. Effort estimation']","[9, 8, 7, 4, 3]"
4534,3. Software Development,9,"['3.2. Code generation', '3.5. Code understanding', '3.7. Code optimization', '2.1. System/architecture design', '6.2. Software tool configuration']","[9, 8, 7, 6, 5]"
1387,3. Software Development,9,"['3.2. Code generation', '3.1. Code completion', '3.8. Code assistant']","[9, 8, 8]"
369,5. Software Maintenance,9,"['5.5. Code refactoring or revision', '5.8. Code transformation or modernization']","[9, 8]"
759,3. Software Development,9,"['3.2. Code generation', '5.8. Code transformation or modernization', '3.1. Code completion', '5.5. Code refactoring or revision']","[9, 9, 7, 8]"
1761,3. Software Development,10,['3.8. Code assistant'],[10]
6378,5. Software Maintenance,10,['5.5. Code refactoring or revision'],[10]
731,3. Software Development,9,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation', '3.3. Code summarization', '3.4. Code search', '3.5. Code understanding', '3.6. API recommendation for coding', '3.7. Code optimization', '4.1. Vulnerability detection', '4.2. Test generation or automation', '5.5. Code refactoring or revision', '5.6. Log analysis', '5.7. Code translation', '5.8. Code transformation or modernization']","[9, 8, 8, 7, 5, 6, 5, 7, 6, 7, 6, 4, 8, 8]"
4012,4. Software Quality Assurance,9,"['4.1. Vulnerability detection', '3.2. Code generation', '3.3. Code summarization', '3.8. Code assistant', '4.2. Test generation or automation']","[9, 8, 7, 8, 7]"
5828,3. Software Development,9,"['3.2. Code generation', '3.8. Code assistant']","[9, 8]"
1124,3. Software Development,10,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation', '3.3. Code summarization', '4.2. Test generation or automation', '3.5. Code understanding']","[10, 8, 8, 6, 7, 7]"
333,3. Software Development,10,"['3.2. Code generation', '3.1. Code completion', '3.3. Code summarization', '3.4. Code search', '3.5. Code understanding', '3.6. API recommendation for coding', '5.3. Code review']","[10, 9, 8, 7, 9, 8, 7]"
2389,7. Others,10,[],[]
1260,3. Software Development,10,['3.2. Code generation'],[10]
