id,category,confidence
524,Others,9
2822,Others,9
3993,Others,9
4926,Others,9
2859,Others,9
2473,SE for FM/LLM/GenAI,8
1206,Others,9
240,Others,9
6237,Others,9
2142,SE for FM/LLM/GenAI,8
4565,SE for FM/LLM/GenAI,8
3345,Others,9
4398,Others,9
1915,Others,9
5073,Others,9
7117,Others,9
7022,FM/LLM/GenAI for SE,9
3388,Others,9
4347,Others,9
4360,Others,9
2885,Others,9
3456,SE for FM/LLM/GenAI,9
4503,Others,9
3213,SE for FM/LLM/GenAI,8
3073,Others,9
3570,FM/LLM/GenAI for SE,9
2973,Others,9
4698,Others,9
6526,Others,9
4434,Others,9
6719,Others,9
3491,Others,9
3369,Others,9
502,SE for FM/LLM/GenAI,8
6475,Others,9
314,Others,9
548,SE for FM/LLM/GenAI,8
445,Others,9
3357,FM/LLM/GenAI for SE,9
957,Others,9
6147,Others,9
996,Others,9
5476,Others,9
1470,Others,9
3059,Others,9
4193,FM/LLM/GenAI for SE,8
71,Others,9
4522,SE for FM/LLM/GenAI,9
4865,Others,9
5460,Others,9
4137,Others,9
2583,SE for FM/LLM/GenAI,9
5139,Others,9
5358,Others,9
6194,Others,9
6464,SE for FM/LLM/GenAI,7
3971,Others,9
2032,SE for FM/LLM/GenAI,8
1659,SE for FM/LLM/GenAI,9
3585,Others,9
3635,SE for FM/LLM/GenAI,8
2013,SE for FM/LLM/GenAI,9
256,Others,9
2720,Others,9
3488,Others,9
590,Others,9
633,SE for FM/LLM/GenAI,9
3115,Others,9
3405,FM/LLM/GenAI for SE,9
1174,SE for FM/LLM/GenAI,8
4171,Others,9
582,Others,9
4010,Others,9
6915,Others,9
513,Others,9
423,Others,8
5838,Others,9
4418,SE for FM/LLM/GenAI,8
4971,Others,9
1647,Others,9
5345,Others,9
3476,Others,9
4421,SE for FM/LLM/GenAI,8
3998,Others,9
5576,Others,9
4574,SE for FM/LLM/GenAI,8
3785,Others,9
113,SE for FM/LLM/GenAI,9
6502,Others,9
6428,Others,9
3081,Others,9
3685,FM/LLM/GenAI for SE,9
6277,FM/LLM/GenAI for SE,9
1677,Others,9
2932,FM/LLM/GenAI for SE,9
5792,SE for FM/LLM/GenAI,8
922,FM/LLM/GenAI for SE,9
1146,SE for FM/LLM/GenAI,9
833,FM/LLM/GenAI for SE,9
6817,Others,9
3421,Others,9
4588,Others,9
6292,Others,9
224,Others,9
6422,Others,9
3574,Others,9
449,SE for FM/LLM/GenAI,8
114,SE for FM/LLM/GenAI,8
6638,Others,9
2701,Others,9
1263,FM/LLM/GenAI for SE,9
6538,Others,9
1179,SE for FM/LLM/GenAI,8
6540,Others,9
497,Others,9
1725,Others,9
5264,Others,9
3018,Others,9
1078,Others,8
3179,Others,9
804,SE for FM/LLM/GenAI,8
6597,SE for FM/LLM/GenAI,8
3762,Others,9
3890,Others,9
5409,Others,9
6552,SE for FM/LLM/GenAI,8
4987,Others,9
6545,Others,9
124,SE for FM/LLM/GenAI,8
6942,Others,9
2757,Others,9
1727,Others,9
4838,Others,9
612,Others,9
204,SE for FM/LLM/GenAI,9
4886,Others,9
6900,Others,9
301,Others,9
4252,Others,9
1636,Others,9
5385,Others,9
6921,Others,9
127,FM/LLM/GenAI for SE,8
3004,Others,9
1658,SE for FM/LLM/GenAI,8
6573,Others,9
141,SE for FM/LLM/GenAI,8
5119,Others,9
3142,Others,9
1408,Others,9
96,Others,9
2463,SE for FM/LLM/GenAI,8
745,SE for FM/LLM/GenAI,8
4704,Others,9
3264,Others,9
6615,Others,9
5666,FM/LLM/GenAI for SE,8
3814,Others,9
4342,Others,9
3260,Others,9
6718,Others,9
4790,Others,9
6878,Others,9
173,SE for FM/LLM/GenAI,8
3892,Others,9
863,SE for FM/LLM/GenAI,9
6988,Others,9
1805,Others,9
1832,SE for FM/LLM/GenAI,8
2532,SE for FM/LLM/GenAI,9
2603,Others,9
5893,Others,9
6621,Others,9
1032,Others,9
3565,Others,9
6769,Others,9
5194,Others,9
3554,Others,9
4187,Others,9
3944,Others,9
1317,SE for FM/LLM/GenAI,8
1596,Others,9
7019,Others,9
6427,Others,9
6323,Others,9
3522,Others,9
4368,Others,9
895,SE for FM/LLM/GenAI,9
5238,Others,9
6119,SE for FM/LLM/GenAI,8
6602,Others,9
1021,Others,9
3247,Others,9
6888,Others,9
5047,Others,9
53,Others,9
6560,Others,9
5598,Others,9
1156,SE for FM/LLM/GenAI,8
1218,Others,9
6337,Others,9
3211,Others,9
1856,Others,9
2184,SE for FM/LLM/GenAI,8
3763,SE for FM/LLM/GenAI,8
585,Others,9
4232,Others,9
2816,Others,10
3606,SE for FM/LLM/GenAI,8
650,SE for FM/LLM/GenAI,8
4262,Others,9
4932,Others,9
2366,Others,9
6288,Others,9
1574,Others,9
2796,Others,9
3666,Others,9
6799,Others,9
526,Others,9
3183,Others,9
6745,Others,10
4894,Others,9
5164,Others,9
3928,SE for FM/LLM/GenAI,9
1277,FM/LLM/GenAI for SE,9
3218,Others,9
4272,SE for FM/LLM/GenAI,9
1377,SE for FM/LLM/GenAI,9
5767,Others,9
2891,Others,9
5796,Others,9
3630,Others,9
6150,SE for FM/LLM/GenAI,9
5708,Others,9
2789,Others,9
1833,SE for FM/LLM/GenAI,8
4332,SE for FM/LLM/GenAI,9
2966,Others,9
2728,Others,9
6315,Others,9
1479,Others,9
1824,SE for FM/LLM/GenAI,8
263,Others,9
6479,Others,9
7057,SE for FM/LLM/GenAI,9
2873,SE for FM/LLM/GenAI,9
4550,Others,9
105,SE for FM/LLM/GenAI,8
1402,SE for FM/LLM/GenAI,8
5977,Others,9
4014,Others,9
6342,Others,8
3248,Others,9
4592,Others,9
3700,Others,9
4318,Others,9
123,SE for FM/LLM/GenAI,9
3132,SE for FM/LLM/GenAI,8
7043,Others,9
5190,Others,9
624,SE for FM/LLM/GenAI,8
2050,SE for FM/LLM/GenAI,8
2692,Others,9
2921,Others,9
6434,Others,9
3323,Others,9
4784,Others,9
3669,SE for FM/LLM/GenAI,9
2042,Others,9
218,Others,8
5649,Others,9
1321,FM/LLM/GenAI for SE,9
5310,FM/LLM/GenAI for SE,9
3423,SE for FM/LLM/GenAI,8
6412,Others,8
2531,SE for FM/LLM/GenAI,9
6842,Others,9
3657,Others,9
6814,Others,9
6609,SE for FM/LLM/GenAI,8
4615,Others,9
4019,SE for FM/LLM/GenAI,9
6524,Others,9
539,FM/LLM/GenAI for SE,8
6747,Others,9
7036,SE for FM/LLM/GenAI,8
4691,Others,9
302,Others,9
7085,Others,9
6431,Others,9
4849,Others,9
6210,Others,9
134,SE for FM/LLM/GenAI,9
2776,Others,9
897,FM/LLM/GenAI for SE,9
6593,Others,9
1416,Others,8
498,Others,9
481,SE for FM/LLM/GenAI,8
6611,Others,9
1755,Others,8
6390,Others,9
4336,Others,9
4439,SE for FM/LLM/GenAI,8
3668,FM/LLM/GenAI for SE,9
419,FM/LLM/GenAI for SE,8
5102,Others,9
1644,Others,9
22,SE for FM/LLM/GenAI,8
270,Others,9
64,SE for FM/LLM/GenAI,8
1128,FM/LLM/GenAI for SE,8
843,SE for FM/LLM/GenAI,8
6688,SE for FM/LLM/GenAI,9
3152,Others,9
5217,Others,9
4064,Others,9
6800,Others,9
47,SE for FM/LLM/GenAI,8
1756,SE for FM/LLM/GenAI,8
1298,SE for FM/LLM/GenAI,8
4872,Others,9
565,Others,9
1711,Others,9
5573,Others,9
3135,Others,9
2900,Others,9
3544,SE for FM/LLM/GenAI,9
6329,Others,9
2156,Others,9
6544,Others,9
6332,SE for FM/LLM/GenAI,8
4514,Others,9
3230,Others,9
5591,Others,9
6729,Others,9
3474,Others,9
1762,SE for FM/LLM/GenAI,8
1180,FM/LLM/GenAI for SE,9
4760,Others,9
917,Others,9
2370,SE for FM/LLM/GenAI,9
3598,SE for FM/LLM/GenAI,9
4836,Others,9
1306,FM/LLM/GenAI for SE,9
6481,Others,9
131,SE for FM/LLM/GenAI,8
637,SE for FM/LLM/GenAI,9
4560,Others,9
1074,FM/LLM/GenAI for SE,8
1313,FM/LLM/GenAI for SE,9
704,SE for FM/LLM/GenAI,8
490,SE for FM/LLM/GenAI,8
1592,Others,9
5962,Others,9
2163,SE for FM/LLM/GenAI,9
742,FM/LLM/GenAI for SE,8
4630,Others,9
2518,Others,9
3617,Others,9
3910,Others,9
496,SE for FM/LLM/GenAI,8
2686,Others,9
4866,Others,9
488,SE for FM/LLM/GenAI,8
1729,Others,9
2792,Others,9
669,FM/LLM/GenAI for SE,8
3466,Others,9
4081,Others,9
1632,Others,9
1061,Others,9
5561,Others,9
6135,Others,9
5351,Others,9
3306,SE for FM/LLM/GenAI,9
5308,SE for FM/LLM/GenAI,9
4610,Others,9
1496,Others,9
3083,SE for FM/LLM/GenAI,8
6197,Others,9
6555,Others,9
3303,Others,9
7101,SE for FM/LLM/GenAI,8
1557,Others,9
6666,SE for FM/LLM/GenAI,8
4752,Others,9
2955,Others,9
621,SE for FM/LLM/GenAI,9
98,SE for FM/LLM/GenAI,8
2150,SE for FM/LLM/GenAI,9
1067,Others,9
3777,Others,9
1296,Others,9
6443,SE for FM/LLM/GenAI,8
4800,Others,9
6981,Others,9
1853,Others,9
