id,category
833,5. Software Maintenance
897,3. Software Development
1313,3. Software Development
5127,5. Software Maintenance
6378,5. Software Maintenance
1124,3. Software Development
333,3. Software Development
1127,3. Software Development
538,3. Software Development
5518,4. Software Quality Assurance
1182,3. Software Development
6244,3. Software Development
3686,4. Software Quality Assurance
4325,3. Software Development
1353,3. Software Development
180,3. Software Development
6090,3. Software Development
4742,3. Software Development
6460,3. Software Development
5173,3. Software Development
8,3. Software Development
647,3. Software Development
1332,3. Software Development
5322,3. Software Development
337,4. Software Quality Assurance
6249,3. Software Development
6380,3. Software Development
3857,3. Software Development
319,3. Software Development
5741,3. Software Development
