id,title,link,company,snippet,area
4187,Hootsuite on AWS Accelerates Social Media Management for Businesses and Brands,https://aws.amazon.com/blogs/apn/hootsuite-on-aws-accelerates-social-media-management-for-businesses-and-brands/,Amazon,"Feb 15, 2024 ... ... software vendors (ISVs), that makes it easy to find, test, buy, and deploy ... What is Generative AI? AWS Cloud Security · What's New · Blogs · Press ...",Others
896,Optimize insights and efficiency with latest Defender EASM features and generative AI integrations,https://techcommunity.microsoft.com/t5/microsoft-defender-external/optimize-insights-and-efficiency-with-latest-defender-easm/ba-p/3976482,Microsoft,"Nov 15, 2023 ... Optimize insights and efficiency with latest Defender EASM features and generative AI integrations ... software and service components that Defender EASM can ...",Others
3290,Unlocking the Future: Wipro's Business Case-Driven Approach for ...,https://aws.amazon.com/blogs/apn/unlocking-the-future-wipro-business-case-driven-approach-for-mainframe-modernization-on-aws/,Amazon,"Oct 27, 2023 ... ... software integration. Customers must make an initial investment to finance ... What is Generative AI? AWS Cloud Security · What's New · Blogs · Press ...",Others
6772,Use Data to Drive Customer Loyalty Like F1 | Salesforce,https://www.salesforce.com/blog/customer-loyalty-data-privacy-trust/,Salesforce,"Nov 16, 2023 ... Software-Defined Vehicle (SDV) · Automotive Pricing · Communications. Back ... AI From A to Z: The Generative AI Glossary for Business Leaders. 27 min read.",Others
94,Discover How AI Is Revolutionizing Cybersecurity at Black Hat and DEF CON,https://blogs.nvidia.com/blog/cybersecurity-ai-black-hat-def-con/,Nvidia,"6 days ago ... Practical LLM Security: Takeaways From a Year in the Trenches: Harang will deep dive into large language model ... software security at NVIDIA, will discuss ...",Others
4708,Accelerate ML workflows with Amazon SageMaker Studio Local Mode and Docker support,https://aws.amazon.com/blogs/machine-learning/accelerate-ml-workflows-with-amazon-sagemaker-studio-local-mode-and-docker-support/,Amazon,"Apr 23, 2024 ... ... generative AI tools and New – Code Editor, based on Code-OSS VS Code Open ... Mufaddal Rohawala is a Software Engineer at AWS. He works on the ...",Others
2722,Amazon Pinpoint 10DLC Campaign Types and Quotas for SMS,https://aws.amazon.com/blogs/messaging-and-targeting/amazon-pinpoint-10dlc-campaign-types-and-quotas-for-sms/,Amazon,"Aug 14, 2023 ... Notifications related to a compromised software or hardware system that requires recipients to take an action ... What is Generative AI? AWS Cloud Security ...",Others
5707,How AppsFlyer modernized their interactive workload by moving to Amazon Athena and saved 80% of costs,https://aws.amazon.com/blogs/big-data/how-appsflyer-modernized-their-interactive-workload-by-moving-to-amazon-athena-and-saved-80-of-costs/,Amazon,"Aug 8, 2024 ... Nofar Diamant is a software team lead at AppsFlyer with a current focus on fraud protection. ... What is Generative AI? What is Machine Learning (ML)? · AWS ...",Others
2172,Q&A: Real-Time Ray Tracing in a Cinematic Scene | NVIDIA ...,https://developer.nvidia.com/blog/qa-real-time-ray-tracing-in-a-cinematic-scene/,Nvidia,"Dec 20, 2023 ... ... Generative AI(430). Networking(273). Recommenders / Personalization(124) ... NVIDIA approached this challenge from all fronts, both in hardware and software.",Others
833,Software has eaten the world. What now? - IBM Research,https://research.ibm.com/blog/qa-ruchir-puri-generative-ai,IBM,"Jan 17, 2024 ... Generative AI is changing the creative process, not just for writers and ... Foundation Models · Generative AI · Granite · What's an LLM context window and ...",FM/LLM/GenAI for SE
