id,company,activity,tasks,title,link
7022,Alibaba,3. Software Development,"['3.2. Code generation', '3.7. Code optimization']",Alibaba Cloud Pilots AI Coding Assistant to Help Employees Write Code,https://www.alibabacloud.com/blog/alibaba-cloud-pilots-ai-coding-assistant-to-help-employees-write-code_601031
3570,Amazon,4. Software Quality Assurance,['4.1. Vulnerability detection'],"Amazon CodeWhisperer offers new AI-powered code remediation, IaC support, and integration with Visual Studio",https://aws.amazon.com/blogs/aws/amazon-codewhisperer-offers-new-ai-powered-code-remediation-iac-support-and-integration-with-visual-studio/
3357,Amazon,3. Software Development,['3.7. Code optimization'],Optimize for sustainability with Amazon CodeWhisperer | AWS ...,https://aws.amazon.com/blogs/machine-learning/optimize-for-sustainability-with-amazon-codewhisperer/
4193,Amazon,3. Software Development,"['3.2. Code generation', '3.1. Code completion']",Code Llama 70B is now available in Amazon SageMaker JumpStart,https://aws.amazon.com/blogs/machine-learning/code-llama-70b-is-now-available-in-amazon-sagemaker-jumpstart/
3405,Amazon,3. Software Development,"['3.2. Code generation', '3.1. Code completion']",Customizing coding companions for organizations | AWS Machine ...,https://aws.amazon.com/blogs/machine-learning/customizing-coding-companions-for-organizations/
6277,SAP,3. Software Development,['3.2. Code generation'],Joule in SAP Build Code - SAP Community,https://community.sap.com/t5/technology-blogs-by-sap/joule-in-sap-build-code/ba-p/13576765
2932,Amazon,3. Software Development,"['3.2. Code generation', '3.1. Code completion']",Explore real-world use cases for Amazon CodeWhisperer powered by AWS Glue Studio notebooks,https://aws.amazon.com/blogs/big-data/explore-real-world-use-cases-for-amazon-codewhisperer-powered-by-aws-glue-studio-notebooks/
833,IBM,5. Software Maintenance,['5.7. Code translation'],Software has eaten the world. What now? - IBM Research,https://research.ibm.com/blog/qa-ruchir-puri-generative-ai
1321,SAP,5. Software Maintenance,['5.7. Code translation'],Using Generative AI to Migrate Java Mapping to Cloud Integration - Part 1: The Concept - SAP ...,https://community.sap.com/t5/technology-blogs-by-sap/using-generative-ai-to-migrate-java-mapping-to-cloud-integration-part-1-the/ba-p/13583434
5310,Amazon,3. Software Development,['3.2. Code generation'],Using Agents for Amazon Bedrock to interactively generate infrastructure as code,https://aws.amazon.com/blogs/machine-learning/using-agents-for-amazon-bedrock-to-interactively-generate-infrastructure-as-code/
897,Microsoft,3. Software Development,['3.1. Code completion'],"Single, Short, Specific - Prompting GitHub Copilot for Visual Studio",https://techcommunity.microsoft.com/t5/microsoft-developer-community/single-short-specific-prompting-github-copilot-for-visual-studio/ba-p/4117226
3668,Amazon,4. Software Quality Assurance,['4.3. Debugging'],Three new capabilities for Amazon Inspector broaden the realm of vulnerability scanning for workloads,https://aws.amazon.com/blogs/aws/three-new-capabilities-for-amazon-inspector-broaden-the-realm-of-vulnerability-scanning-for-workloads/
419,Google,3. Software Development,['3.1. Code completion'],AI in software engineering at Google: Progress and the path ahead,http://research.google/blog/ai-in-software-engineering-at-google-progress-and-the-path-ahead/
1180,Microsoft,3. Software Development,"['3.2. Code generation', '3.5. Code understanding']","Research Focus: Week of December 4, 2023 - Microsoft Research",https://www.microsoft.com/en-us/research/blog/research-focus-week-of-december-4-2023/
1306,SAP,3. Software Development,"['3.2. Code generation', '3.1. Code completion']",GenAI to create CAP Service in SAP Build Code - SAP Community,https://community.sap.com/t5/technology-blogs-by-sap/genai-to-create-cap-service-in-sap-build-code/ba-p/13688599
1313,SAP,3. Software Development,['3.2. Code generation'],Innovations Highlights from SAP Business Technology Platform - TechEd 2023 - SAP ...,https://community.sap.com/t5/technology-blogs-by-sap/innovations-highlights-from-sap-business-technology-platform-teched-2023/ba-p/13580402
2537,Nvidia,4. Software Quality Assurance,['4.2. Test generation or automation'],Building Cyber Language Models to Unlock New Cybersecurity Capabilities,https://developer.nvidia.com/blog/building-cyber-language-models-to-unlock-new-cybersecurity-capabilities/
5127,Amazon,5. Software Maintenance,['5.8. Code transformation or modernization'],Three ways Amazon Q Developer agent for code transformation accelerates Java upgrades,https://aws.amazon.com/blogs/devops/three-ways-amazon-q-developer-agent-for-code-transformation-accelerates-java-upgrades/
769,IBM,5. Software Maintenance,"['5.8. Code transformation or modernization', '5.5. Code refactoring or revision']",Modernizing mainframe applications with a boost from generative AI ...,https://www.ibm.com/blog/modernizing-mainframe-applications-with-a-boost-from-generative-ai/
835,IBM,3. Software Development,"['3.2. Code generation', '3.5. Code understanding']","At Think, IBM showed how generative AI is set to take automation to another level",https://research.ibm.com/blog/automation-think-generative-ai
356,Amazon,5. Software Maintenance,['5.3. Code review'],Enhance code review and approval efficiency with generative AI using Amazon Bedrock,https://aws.amazon.com/blogs/machine-learning/enhance-code-review-and-approval-efficiency-with-generative-ai-using-amazon-bedrock/
632,Google,3. Software Development,"['3.2. Code generation', '3.1. Code completion', '3.8. Code assistant']",Context-aware code generation: RAG and Vertex AI Codey APIs ...,https://cloud.google.com/blog/products/ai-machine-learning/context-aware-code-generation-rag-and-vertex-ai-codey-apis
1289,SAP,3. Software Development,['3.2. Code generation'],"SAP Sapphire 2024: Update on Application Development, Automation and Integration - SAP ...",https://community.sap.com/t5/technology-blogs-by-sap/sap-sapphire-2024-update-on-application-development-automation-and/ba-p/13713062
1337,SAP,3. Software Development,"['3.2. Code generation', '3.1. Code completion']",SAP Build Code - Speed up your development with Generative AI Assistant - Joule,https://community.sap.com/t5/technology-blogs-by-sap/sap-build-code-speed-up-your-development-with-generative-ai-assistant-joule/ba-p/13660954
6498,SAP,3. Software Development,['3.2. Code generation'],Sapphire 2024 user experience and application development sessions - SAP ...,https://community.sap.com/t5/technology-blogs-by-sap/sapphire-2024-user-experience-and-application-development-sessions/ba-p/13684064
157,Nvidia,3. Software Development,['3.1. Code completion'],"Revolutionizing Code Completion with Codestral Mamba, the Next-Gen Coding LLM",https://developer.nvidia.com/blog/revolutionizing-code-completion-with-codestral-mamba-the-next-gen-coding-llm/
