id,company,activity,tasks,title,link
2473,Nvidia,5. Model Deployment and Operation,['5.4. Model Serving and Scaling'],Introducing Grouped GEMM APIs in cuBLAS and More Performance Updates,https://developer.nvidia.com/blog/introducing-grouped-gemm-apis-in-cublas-and-more-performance-updates/
2142,Nvidia,6. System Architecture and Orchestration,"['6.5. Platforms/Tools/Studios for FM/LLM/GenAI', '6.2. Workflow Orchestration for FM/LLM/GenAI']",Create Lifelike Avatars with AI Animation and Speech Features in NVIDIA ACE,https://developer.nvidia.com/blog/create-lifelike-avatars-with-ai-animation-and-speech-features-in-nvidia-ace/
4565,Amazon,2. Data Management,['2.5. Specialized Databases for FM/LLM/GenAI'],Accelerate Data Modernization and AI with IBM Databases on AWS,https://aws.amazon.com/blogs/ibm-redhat/accelerate-data-modernization-and-ai-with-ibm-databases-on-aws/
3456,Amazon,6. System Architecture and Orchestration,['6.2. Workflow Orchestration for FM/LLM/GenAI'],Transform enterprise search and knowledge discovery with Glean and Amazon Bedrock,https://aws.amazon.com/blogs/awsmarketplace/transform-enterprise-search-knowledge-discovery-glean-amazon-bedrock/
3213,Amazon,2. Data Management,['2.2. Dataset Cleaning and Preparation'],Automatically redact PII for machine learning using Amazon SageMaker Data Wrangler,https://aws.amazon.com/blogs/machine-learning/automatically-redact-pii-for-machine-learning-using-amazon-sagemaker-data-wrangler/
548,Google,6. System Architecture and Orchestration,"['6.3. FM/LLM/GenAI Agent, Copilot, or Assistant']",Google AI on Android: Work smarter wherever you are,https://blog.google/products/android-enterprise/google-ai-on-android-at-work/
4522,Amazon,3. Model Fine-Tuning,['3.1. Full Parameter Fine-Tuning of a Pre-Trained Model'],Unlocking the value of unstructured data: How Coactive built a visual analytics platform on AWS,https://aws.amazon.com/blogs/startups/unlocking-the-value-of-unstructured-data-how-coactive-built-a-visual-analytics-platform-on-aws/
2032,Nvidia,4. Evaluation and Quality Assurance,['4.5. Model Safety and Compliance'],Preventing Health Data Leaks with Federated Learning Using NVIDIA FLARE,https://developer.nvidia.com/blog/preventing-health-data-leaks-with-federated-learning-using-nvidia-flare/
1659,Salesforce,6. System Architecture and Orchestration,['6.1. Model and Prompt Chaining'],BannerGen: A Library for Multi-Modality Banner Generation,https://blog.salesforceairesearch.com/bannergen-a-library-for-multi-modality-banner-generation/
2013,Nvidia,2. Data Management,['2.5. Specialized Databases for FM/LLM/GenAI'],Accelerating Vector Search: Using GPU-Powered Indexes with RAPIDS RAFT,https://developer.nvidia.com/blog/accelerating-vector-search-using-gpu-powered-indexes-with-rapids-raft/
633,Google,2. Data Management,['2.6. RAG for FM/LLM/GenAI'],New GenAI Databases Retrieval App helps improves LLM answers ...,https://cloud.google.com/blog/products/databases/introducing-sample-genai-databases-retrieval-app
4418,Amazon,5. Model Deployment and Operation,['5.1. Model Deployment on Cloud'],Powering the generative AI era: What you missed at the AWS Public Sector Symposium Brussels,https://aws.amazon.com/blogs/publicsector/powering-the-generative-ai-era-what-you-missed-at-the-aws-public-sector-symposium-brussels/
4421,Amazon,2. Data Management,['2.5. Specialized Databases for FM/LLM/GenAI'],Reimagining Vector Databases for the Generative AI Era with Pinecone Serverless on AWS,https://aws.amazon.com/blogs/apn/reimagining-vector-databases-for-the-generative-ai-era-with-pinecone-serverless-on-aws/
4574,Amazon,2. Data Management,['2.6. RAG for FM/LLM/GenAI'],Knowledge Bases for Amazon Bedrock now supports metadata ...,https://aws.amazon.com/blogs/machine-learning/knowledge-bases-for-amazon-bedrock-now-supports-metadata-filtering-to-improve-retrieval-accuracy/
113,Nvidia,5. Model Deployment and Operation,['5.2. Model Deployment on Device'],Supercharging LLM Applications on Windows PCs with NVIDIA RTX Systems,https://developer.nvidia.com/blog/supercharging-llm-applications-on-windows-pcs-with-nvidia-rtx-systems/
5792,Google,5. Model Deployment and Operation,['5.1. Model Deployment on Cloud'],Performance deep dive of Gemma on Google Cloud | Google Cloud ...,https://cloud.google.com/blog/products/ai-machine-learning/performance-deepdive-of-gemma-on-google-cloud
1146,Microsoft,6. System Architecture and Orchestration,"['6.1. Model and Prompt Chaining', '6.5. Platforms/Tools/Studios for FM/LLM/GenAI', '6.2. Workflow Orchestration for FM/LLM/GenAI']","AI Controller Interface: Generative AI with a lightweight, LLM-integrated VM",https://www.microsoft.com/en-us/research/blog/ai-controller-interface-generative-ai-with-a-lightweight-llm-integrated-vm/
449,Google,3. Model Fine-Tuning,"['3.2. Low-Rank Adaptation (LoRA) for Foundation Models', '3.1. Full Parameter Fine-Tuning of a Pre-Trained Model']",Protecting users with differentially private synthetic training data,http://research.google/blog/protecting-users-with-differentially-private-synthetic-training-data/
114,Nvidia,5. Model Deployment and Operation,['5.4. Model Serving and Scaling'],"Personalized Learning with Gipi, NVIDIA TensortRT-LLM, and AI Foundation Models",https://developer.nvidia.com/blog/personalized-learning-with-gipi-nvidia-tensortrt-llm-and-ai-foundation-models/
1263,SAP,2. Data Management,"['2.6. RAG for FM/LLM/GenAI', '2.5. Specialized Databases for FM/LLM/GenAI']","RAG with SAP HANA Cloud Vector Engine, GenAI Hub & CAP",https://community.sap.com/t5/technology-blogs-by-sap/rag-with-sap-hana-cloud-vector-engine-genai-hub-amp-cap/ba-p/13700459
1179,Microsoft,5. Model Deployment and Operation,['5.4. Model Serving and Scaling'],Skeleton-of-Thought: Parallel decoding speeds up and improves LLM output,https://www.microsoft.com/en-us/research/blog/skeleton-of-thought-parallel-decoding-speeds-up-and-improves-llm-output/
804,IBM,2. Data Management,"['2.2. Dataset Cleaning and Preparation', '2.1. Dataset Collection', '2.6. RAG for FM/LLM/GenAI']",The importance of data ingestion and integration for enterprise AI ...,https://www.ibm.com/blog/the-importance-of-data-ingestion-and-integration-for-enterprise-ai/
124,Nvidia,3. Model Fine-Tuning,['3.1. Full Parameter Fine-Tuning of a Pre-Trained Model'],Deploy GPU-Optimized AI Software with One Click Using Brev.dev and NVIDIA NGC Catalog,https://developer.nvidia.com/blog/deploy-gpu-optimized-ai-software-with-one-click-using-brev-dev-and-nvidia-ngc-catalog/
204,Meta,5. Model Deployment and Operation,['5.1. Model Deployment on Cloud'],How Meta trains large language models at scale - Engineering at Meta,https://engineering.fb.com/2024/06/12/data-infrastructure/training-large-language-models-at-scale-meta/
127,Nvidia,3. Model Fine-Tuning,"['3.1. Full Parameter Fine-Tuning of a Pre-Trained Model', '3.3. Reinforcement Learning from Human Feedback (RLHF)', '3.2. Low-Rank Adaptation (LoRA) for Foundation Models']",Streamline Generative AI Development with NVIDIA NeMo on GPU-Accelerated Google Cloud,https://developer.nvidia.com/blog/streamline-generative-ai-development-with-nvidia-nemo-on-gpu-accelerated-google-cloud/
1658,Salesforce,6. System Architecture and Orchestration,"['6.2. Workflow Orchestration for FM/LLM/GenAI', '6.1. Model and Prompt Chaining']",From Copilot to CoOrchestration,https://blog.salesforceairesearch.com/from-copilot-to-coorchestration/
141,Nvidia,5. Model Deployment and Operation,['5.1. Model Deployment on Cloud'],Writer Releases Domain-Specific LLMs for Healthcare and Finance,https://developer.nvidia.com/blog/writer-releases-domain-specific-llms-for-healthcare-and-finance/
2463,Nvidia,5. Model Deployment and Operation,['5.2. Model Deployment on Device'],"Power Cloud-Native Microservices at the Edge with NVIDIA JetPack 6.0, Now GA",https://developer.nvidia.com/blog/power-cloud-native-microservices-at-the-edge-with-nvidia-jetpack-6-0-now-ga/
745,IBM,6. System Architecture and Orchestration,['6.5. Platforms/Tools/Studios for FM/LLM/GenAI'],How to accelerate your data monetization strategy with data ...,https://www.ibm.com/blog/how-to-accelerate-your-data-monetization-strategy-with-data-products-and-ai/
5666,Amazon,5. Model Deployment and Operation,"['5.1. Model Deployment on Cloud', '5.4. Model Serving and Scaling']",How Cisco accelerated the use of generative AI with Amazon SageMaker Inference,https://aws.amazon.com/blogs/machine-learning/how-cisco-accelerated-the-use-of-generative-ai-with-amazon-sagemaker-inference/
173,Nvidia,5. Model Deployment and Operation,['5.4. Model Serving and Scaling'],Bringing Generative AI to Life with NVIDIA Jetson | NVIDIA Technical ...,https://developer.nvidia.com/blog/bringing-generative-ai-to-life-with-jetson/
863,Microsoft,5. Model Deployment and Operation,['5.4. Model Serving and Scaling'],Fundamental of Deploying Large Language Model Inference,https://techcommunity.microsoft.com/t5/ai-machine-learning-blog/fundamental-of-deploying-large-language-model-inference/ba-p/4096881
2532,Nvidia,3. Model Fine-Tuning,['3.2. Low-Rank Adaptation (LoRA) for Foundation Models'],Customizing NVIDIA NIM for Domain-Specific Needs with NVIDIA NeMo,https://developer.nvidia.com/blog/customizing-nvidia-nims-for-domain-specific-needs-with-nvidia-nemo/
1317,SAP,6. System Architecture and Orchestration,['6.5. Platforms/Tools/Studios for FM/LLM/GenAI'],"Predict, Personalize, Prosper: BTP AI Capabilities Redefining Retail Intelligence - Part 3/3 - SAP Community",https://community.sap.com/t5/technology-blogs-by-sap/predict-personalize-prosper-btp-ai-capabilities-redefining-retail/ba-p/13645171
895,Microsoft,6. System Architecture and Orchestration,['6.2. Workflow Orchestration for FM/LLM/GenAI'],Deploy Semantic Kernel with Bot Framework,https://techcommunity.microsoft.com/t5/fasttrack-for-azure/deploy-semantic-kernel-with-bot-framework/ba-p/3928101
1156,Microsoft,2. Data Management,['2.6. RAG for FM/LLM/GenAI'],GraphRAG: Unlocking LLM discovery on narrative private data,https://www.microsoft.com/en-us/research/blog/graphrag-unlocking-llm-discovery-on-narrative-private-data/
2184,Nvidia,3. Model Fine-Tuning,['3.1. Full Parameter Fine-Tuning of a Pre-Trained Model'],Enhancing Phone Customer Service with ASR Customization,https://developer.nvidia.com/blog/enhancing-phone-customer-service-with-asr-customization/
3606,Amazon,2. Data Management,['2.5. Specialized Databases for FM/LLM/GenAI'],Analyze large amounts of graph data to get insights and find trends with Amazon Neptune Analytics,https://aws.amazon.com/blogs/aws/introducing-amazon-neptune-analytics-a-high-performance-graph-analytics/
650,Google,5. Model Deployment and Operation,['5.4. Model Serving and Scaling'],Performance per dollar of GPUs and TPUs for AI inference | Google ...,https://cloud.google.com/blog/products/compute/performance-per-dollar-of-gpus-and-tpus-for-ai-inference
3928,Amazon,5. Model Deployment and Operation,"['5.1. Model Deployment on Cloud', '5.4. Model Serving and Scaling']",Host the Whisper Model on Amazon SageMaker: exploring inference options,https://aws.amazon.com/blogs/machine-learning/host-the-whisper-model-on-amazon-sagemaker-exploring-inference-options/
1277,SAP,6. System Architecture and Orchestration,"['6.3. FM/LLM/GenAI Agent, Copilot, or Assistant']",Improving Time Management in SAP S/4HANA Cloud: A GenAI Solution,https://community.sap.com/t5/technology-blogs-by-sap/improving-time-management-in-sap-s-4hana-cloud-a-genai-solution/ba-p/13673836
4272,Amazon,3. Model Fine-Tuning,['3.1. Full Parameter Fine-Tuning of a Pre-Trained Model'],Accelerating large-scale neural network training on CPUs with ThirdAI and AWS Graviton,https://aws.amazon.com/blogs/machine-learning/accelerating-large-scale-neural-network-training-on-cpus-with-thirdai-and-aws-graviton/
1377,Oracle,5. Model Deployment and Operation,['5.1. Model Deployment on Cloud'],The Future of Generative AI: What Enterprises Need to Know,https://blogs.oracle.com/ai-and-datascience/post/future-generative-ai-what-enterprises-need-to-know
6150,Microsoft,6. System Architecture and Orchestration,['6.5. Platforms/Tools/Studios for FM/LLM/GenAI'],Build your own AI Text-to-Image Generator in Visual Studio Code,https://techcommunity.microsoft.com/t5/educator-developer-blog/build-your-own-ai-text-to-image-generator-in-visual-studio-code/ba-p/4210447
4332,Amazon,6. System Architecture and Orchestration,"['6.2. Workflow Orchestration for FM/LLM/GenAI', '6.1. Model and Prompt Chaining']",Automate the process to change image backgrounds using Amazon Bedrock and AWS Step Functions,https://aws.amazon.com/blogs/machine-learning/automate-the-process-to-change-image-backgrounds-using-amazon-bedrock-and-aws-step-functions/
