id,category,confidence
524,Others,8
2822,Others,10
3993,Others,10
4926,Others,10
2859,Others,10
2473,Others,8
1206,Others,10
240,Others,8
6237,Others,8
2142,SE for FM/LLM/GenAI,8
4565,Others,8
3345,Others,8
4398,Others,10
1915,SE for FM/LLM/GenAI,7
5073,Others,8
7117,Others,10
7022,FM/LLM/GenAI for SE,9
3388,Others,10
4347,Others,10
4360,Others,10
2885,Others,10
3456,SE for FM/LLM/GenAI,8
4503,Others,8
3213,Others,8
3073,Others,10
3570,FM/LLM/GenAI for SE,8
2973,Others,10
4698,Others,10
6526,Others,8
4434,Others,10
6719,Others,9
3491,Others,10
3369,Others,10
502,Others,8
6475,Others,10
314,Others,10
548,Others,8
445,Others,8
3357,FM/LLM/GenAI for SE,8
957,Others,8
6147,Others,10
996,Others,10
5476,Others,8
1470,Others,10
3059,Others,10
4193,FM/LLM/GenAI for SE,8
71,Others,9
4522,SE for FM/LLM/GenAI,8
4865,Others,10
5460,Others,10
4137,Others,10
2583,SE for FM/LLM/GenAI,9
5139,Others,10
5358,Others,8
6194,Others,10
6464,FM/LLM/GenAI for SE,7
3971,Others,10
2032,SE for FM/LLM/GenAI,8
1659,SE for FM/LLM/GenAI,8
3585,Others,10
3635,Others,8
2013,Others,7
256,Others,8
2720,Others,10
3488,Others,10
590,Others,10
633,SE for FM/LLM/GenAI,8
3115,Others,10
3405,SE for FM/LLM/GenAI,9
1174,Others,8
4171,Others,10
582,Others,10
4010,Others,10
6915,Others,8
513,Others,10
423,Others,8
5838,Others,8
4418,Others,8
4971,Others,8
1647,Others,10
5345,Others,10
3476,Others,10
4421,SE for FM/LLM/GenAI,9
3998,Others,10
5576,Others,10
4574,SE for FM/LLM/GenAI,8
3785,Others,10
113,SE for FM/LLM/GenAI,8
6502,Others,9
6428,Others,10
3081,Others,10
3685,Others,8
6277,FM/LLM/GenAI for SE,8
1677,Others,10
2932,FM/LLM/GenAI for SE,7
5792,SE for FM/LLM/GenAI,9
922,Others,8
1146,SE for FM/LLM/GenAI,9
833,FM/LLM/GenAI for SE,8
6817,Others,10
3421,Others,10
4588,Others,10
6292,Others,10
224,Others,10
6422,Others,10
3574,Others,10
449,Others,8
114,SE for FM/LLM/GenAI,8
6638,Others,10
2701,Others,10
1263,SE for FM/LLM/GenAI,8
6538,Others,10
1179,SE for FM/LLM/GenAI,8
6540,Others,10
497,Others,10
1725,Others,8
5264,Others,8
3018,Others,10
1078,Others,8
3179,Others,10
804,SE for FM/LLM/GenAI,6
6597,Others,8
3762,Others,10
3890,Others,10
5409,Others,10
6552,Others,7
4987,Others,9
6545,Others,10
124,SE for FM/LLM/GenAI,8
6942,Others,10
2757,Others,10
1727,Others,9
4838,Others,10
612,Others,8
204,SE for FM/LLM/GenAI,9
4886,Others,10
6900,Others,8
301,Others,8
4252,Others,10
1636,Others,10
5385,Others,10
6921,Others,10
127,SE for FM/LLM/GenAI,9
3004,Others,10
1658,SE for FM/LLM/GenAI,8
6573,Others,8
141,Others,8
5119,Others,10
3142,Others,10
1408,Others,8
96,Others,8
2463,SE for FM/LLM/GenAI,8
745,SE for FM/LLM/GenAI,8
4704,Others,10
3264,Others,8
6615,Others,10
5666,SE for FM/LLM/GenAI,9
3814,Others,10
4342,Others,10
3260,Others,10
6718,Others,10
4790,Others,10
6878,Others,10
173,SE for FM/LLM/GenAI,9
3892,Others,8
863,SE for FM/LLM/GenAI,8
6988,Others,10
1805,Others,9
1832,Others,7
2532,SE for FM/LLM/GenAI,9
2603,Others,8
5893,Others,10
6621,Others,10
1032,Others,10
3565,Others,10
6769,Others,8
5194,Others,10
3554,Others,10
4187,Others,10
3944,Others,10
1317,SE for FM/LLM/GenAI,7
1596,Others,10
7019,Others,9
6427,Others,10
6323,Others,10
3522,Others,10
4368,Others,10
895,SE for FM/LLM/GenAI,8
5238,Others,10
6119,SE for FM/LLM/GenAI,8
6602,Others,10
1021,Others,10
3247,Others,10
6888,Others,10
5047,Others,10
53,Others,8
6560,Others,8
5598,Others,10
1156,SE for FM/LLM/GenAI,8
1218,Others,8
6337,Others,10
3211,Others,10
1856,Others,10
2184,Others,7
3763,Others,10
585,Others,10
4232,Others,10
2816,Others,10
3606,Others,8
650,Others,8
4262,Others,10
4932,Others,10
2366,Others,8
6288,Others,8
1574,Others,8
2796,Others,10
3666,Others,10
6799,Others,9
526,Others,8
3183,Others,10
6745,Others,10
4894,Others,9
5164,Others,10
3928,SE for FM/LLM/GenAI,9
1277,SE for FM/LLM/GenAI,8
3218,Others,10
4272,Others,8
1377,SE for FM/LLM/GenAI,8
5767,Others,8
2891,Others,10
5796,SE for FM/LLM/GenAI,6
3630,Others,10
6150,Others,8
5708,Others,10
2789,Others,10
1833,Others,10
4332,SE for FM/LLM/GenAI,9
2966,Others,10
2728,Others,10
6315,Others,8
1479,Others,8
1824,SE for FM/LLM/GenAI,8
263,Others,8
6479,Others,10
7057,SE for FM/LLM/GenAI,6
2873,SE for FM/LLM/GenAI,9
4550,Others,10
105,Others,8
1402,SE for FM/LLM/GenAI,8
5977,Others,10
4014,Others,10
6342,Others,8
3248,SE for FM/LLM/GenAI,6
4592,Others,10
3700,Others,9
4318,Others,10
123,SE for FM/LLM/GenAI,9
3132,SE for FM/LLM/GenAI,7
7043,Others,8
5190,Others,10
624,SE for FM/LLM/GenAI,8
2050,Others,8
2692,Others,10
2921,Others,10
6434,Others,10
3323,Others,10
4784,Others,10
3669,SE for FM/LLM/GenAI,9
2042,Others,10
218,Others,7
5649,Others,10
1321,SE for FM/LLM/GenAI,7
5310,FM/LLM/GenAI for SE,8
3423,Others,8
6412,Others,8
2531,SE for FM/LLM/GenAI,8
6842,Others,10
3657,Others,10
6814,Others,10
6609,Others,8
4615,Others,10
4019,SE for FM/LLM/GenAI,8
6524,Others,10
539,SE for FM/LLM/GenAI,7
6747,Others,10
7036,SE for FM/LLM/GenAI,8
4691,Others,10
302,Others,8
7085,Others,8
6431,Others,10
4849,Others,10
6210,Others,8
134,SE for FM/LLM/GenAI,9
2776,Others,10
897,FM/LLM/GenAI for SE,8
6593,Others,10
1416,Others,8
498,Others,10
481,Others,8
6611,Others,8
1755,Others,8
6390,Others,10
4336,Others,10
4439,Others,8
3668,FM/LLM/GenAI for SE,8
419,FM/LLM/GenAI for SE,8
5102,Others,10
1644,Others,10
22,Others,8
270,Others,8
64,Others,8
1128,SE for FM/LLM/GenAI,8
843,SE for FM/LLM/GenAI,7
6688,SE for FM/LLM/GenAI,9
3152,Others,10
5217,Others,10
4064,Others,10
6800,Others,8
47,SE for FM/LLM/GenAI,8
1756,SE for FM/LLM/GenAI,8
1298,SE for FM/LLM/GenAI,7
4872,Others,10
565,Others,10
1711,Others,8
5573,Others,10
3135,Others,8
2900,Others,10
3544,SE for FM/LLM/GenAI,9
6329,Others,10
2156,Others,10
6544,Others,10
6332,Others,8
4514,Others,10
3230,Others,10
5591,Others,10
6729,Others,10
3474,Others,10
1762,SE for FM/LLM/GenAI,7
1180,Others,7
4760,Others,8
917,Others,10
2370,Others,7
3598,SE for FM/LLM/GenAI,9
4836,Others,10
1306,FM/LLM/GenAI for SE,8
6481,Others,8
131,SE for FM/LLM/GenAI,8
637,SE for FM/LLM/GenAI,9
4560,Others,10
1074,Others,7
1313,Others,7
704,SE for FM/LLM/GenAI,8
490,Others,10
1592,Others,10
5962,Others,8
2163,SE for FM/LLM/GenAI,9
742,Others,7
4630,Others,10
2518,Others,10
3617,Others,10
3910,Others,8
496,SE for FM/LLM/GenAI,8
2686,Others,10
4866,Others,10
488,Others,9
1729,Others,8
2792,Others,10
669,SE for FM/LLM/GenAI,8
3466,Others,10
4081,Others,10
1632,Others,8
1061,Others,10
5561,Others,10
6135,Others,10
5351,Others,10
3306,Others,10
5308,SE for FM/LLM/GenAI,9
4610,Others,10
1496,Others,8
3083,Others,10
6197,Others,10
6555,Others,9
3303,Others,10
7101,SE for FM/LLM/GenAI,8
1557,Others,10
6666,SE for FM/LLM/GenAI,8
4752,Others,8
2955,Others,8
621,SE for FM/LLM/GenAI,8
98,SE for FM/LLM/GenAI,8
2150,SE for FM/LLM/GenAI,8
1067,Others,8
3777,Others,10
1296,Others,8
6443,Others,7
4800,Others,10
6981,Others,10
1853,Others,10
7,SE for FM/LLM/GenAI,8
5414,Others,10
3985,Others,10
3706,Others,10
4675,Others,10
1969,Others,10
2772,Others,10
6509,Others,10
2092,Others,8
2544,Others,8
381,SE for FM/LLM/GenAI,9
6534,SE for FM/LLM/GenAI,8
1229,Others,10
2015,Others,10
1103,SE for FM/LLM/GenAI,8
3682,Others,10
2997,Others,9
2391,Others,8
4779,Others,9
4606,Others,10
3237,Others,10
7081,Others,8
4069,SE for FM/LLM/GenAI,8
6580,Others,10
2188,Others,10
4877,Others,10
2977,Others,10
914,SE for FM/LLM/GenAI,8
5145,Others,8
2401,SE for FM/LLM/GenAI,8
4757,Others,10
5229,SE for FM/LLM/GenAI,8
1663,Others,10
4671,Others,10
5497,Others,10
2442,SE for FM/LLM/GenAI,8
3098,Others,10
5108,Others,8
950,Others,8
4217,SE for FM/LLM/GenAI,8
2451,SE for FM/LLM/GenAI,9
4970,Others,8
203,SE for FM/LLM/GenAI,9
2062,Others,8
551,Others,10
7083,Others,9
3096,Others,10
1042,Others,8
351,SE for FM/LLM/GenAI,8
4306,Others,10
6515,Others,10
4622,SE for FM/LLM/GenAI,8
586,Others,10
175,SE for FM/LLM/GenAI,8
6665,Others,9
6777,Others,10
567,Others,8
5168,Others,10
6897,Others,10
2868,Others,10
2005,Others,9
454,Others,8
5300,Others,10
4230,Others,10
3642,Others,10
6803,Others,10
1096,SE for FM/LLM/GenAI,9
3820,Others,10
6671,Others,8
4950,Others,10
440,SE for FM/LLM/GenAI,6
3033,SE for FM/LLM/GenAI,9
3878,SE for FM/LLM/GenAI,8
2854,Others,10
1676,Others,10
517,SE for FM/LLM/GenAI,6
4448,Others,10
115,SE for FM/LLM/GenAI,8
3755,Others,10
2459,Others,8
4005,Others,10
6761,Others,10
3670,SE for FM/LLM/GenAI,8
1285,SE for FM/LLM/GenAI,8
3722,Others,10
6972,Others,8
6306,Others,10
3658,Others,10
2246,FM/LLM/GenAI for SE,6
2551,Others,10
3046,Others,10
1330,Others,8
3886,Others,10
2496,Others,8
6415,Others,8
6485,Others,8
1879,SE for FM/LLM/GenAI,7
479,Others,10
3385,Others,10
664,Others,8
6818,Others,10
2981,SE for FM/LLM/GenAI,8
3665,Others,10
5490,Others,7
6794,Others,10
828,SE for FM/LLM/GenAI,8
1600,Others,10
3599,SE for FM/LLM/GenAI,8
6819,Others,10
5177,Others,10
5815,Others,8
2620,SE for FM/LLM/GenAI,8
3290,Others,8
6500,Others,10
7071,Others,10
6367,Others,10
281,Others,10
1149,Others,8
2537,SE for FM/LLM/GenAI,7
4308,Others,10
855,Others,10
1039,Others,10
142,SE for FM/LLM/GenAI,8
5127,FM/LLM/GenAI for SE,9
531,Others,8
4093,Others,10
3870,SE for FM/LLM/GenAI,8
2767,Others,10
3874,Others,10
4355,Others,8
5664,Others,10
3207,SE for FM/LLM/GenAI,9
5765,Others,10
1941,Others,10
1991,Others,8
6384,Others,10
4162,Others,10
527,Others,8
2023,Others,10
2975,Others,10
1293,Others,7
1170,SE for FM/LLM/GenAI,9
6838,Others,10
1754,SE for FM/LLM/GenAI,8
6369,Others,10
5213,Others,10
205,SE for FM/LLM/GenAI,9
6651,Others,9
6065,Others,8
6019,Others,10
265,Others,8
4082,Others,8
4994,Others,10
278,Others,8
6523,Others,9
5046,Others,10
3834,Others,10
4190,SE for FM/LLM/GenAI,8
2689,SE for FM/LLM/GenAI,8
3461,Others,10
4018,Others,9
478,Others,10
2948,Others,8
4624,Others,10
6425,Others,10
6677,Others,10
769,FM/LLM/GenAI for SE,8
835,FM/LLM/GenAI for SE,8
1006,Others,8
2785,SE for FM/LLM/GenAI,6
994,Others,10
4235,Others,10
1648,Others,8
6561,Others,8
4055,SE for FM/LLM/GenAI,7
6251,Others,10
2409,Others,8
3951,Others,10
2901,Others,10
292,Others,10
638,SE for FM/LLM/GenAI,9
902,Others,8
148,SE for FM/LLM/GenAI,8
5698,Others,10
5853,Others,8
2247,SE for FM/LLM/GenAI,8
2395,SE for FM/LLM/GenAI,8
4655,Others,10
225,Others,10
912,Others,8
4870,Others,10
7032,SE for FM/LLM/GenAI,8
870,SE for FM/LLM/GenAI,8
4679,SE for FM/LLM/GenAI,9
4075,Others,8
5287,Others,10
3492,Others,10
5800,Others,8
5969,Others,10
2958,Others,10
1131,Others,9
6141,Others,10
3436,SE for FM/LLM/GenAI,8
109,SE for FM/LLM/GenAI,8
6229,Others,10
3106,Others,8
1965,Others,8
1075,SE for FM/LLM/GenAI,7
4037,Others,8
1304,Others,8
714,Others,8
2654,SE for FM/LLM/GenAI,8
5922,Others,8
7102,Others,8
444,SE for FM/LLM/GenAI,8
110,Others,7
6902,Others,10
7007,Others,10
356,FM/LLM/GenAI for SE,8
6401,Others,10
5493,Others,10
6630,Others,10
632,FM/LLM/GenAI for SE,8
1916,Others,8
4141,Others,10
3235,Others,8
1497,Others,10
3548,SE for FM/LLM/GenAI,9
2842,Others,10
4909,Others,10
4309,Others,10
4733,Others,10
5711,Others,7
342,Others,8
6965,Others,10
4207,SE for FM/LLM/GenAI,8
6786,Others,10
5522,SE for FM/LLM/GenAI,7
4974,Others,8
1631,Others,8
4769,Others,10
6365,Others,10
4696,Others,10
7038,SE for FM/LLM/GenAI,8
4115,Others,10
3396,Others,8
5613,SE for FM/LLM/GenAI,8
1855,Others,8
5498,Others,10
398,Others,7
3705,Others,10
499,Others,8
2696,Others,10
6501,Others,8
1289,Others,8
3702,SE for FM/LLM/GenAI,8
2999,SE for FM/LLM/GenAI,8
6165,SE for FM/LLM/GenAI,8
3882,Others,10
57,Others,8
3349,Others,10
1051,SE for FM/LLM/GenAI,8
6474,Others,10
4189,Others,10
3587,Others,10
4483,Others,10
