id,category,confidence,activities,activities_confidence
2473,5. Model Deployment,8,"['5.4. Model Serving and Scaling', '5.5. Model Quantization, Pruning, or Distillation']","[8, 6]"
2142,6. System Architecture,9,"['6.5. Platforms/Tools/Studios for FM/LLM/GenAI', '6.2. Workflow Orchestration for FM/LLM/GenAI', '6.3. FM/LLM/GenAI Agent, Copilot, or Assistant', '7.2. Prompt Engineering Techniques', '5.4. Model Serving and Scaling']","[9, 8, 8, 7, 7]"
4565,2. Data Management,3,['2.5. Specialized Databases for FM/LLM/GenAI'],[3]
3456,6. System Architecture,9,"['6.5. Platforms/Tools/Studios for FM/LLM/GenAI', '2.6. RAG for FM/LLM/GenAI', '6.1. Model and Prompt Chaining', '5.1. Model Deployment on Cloud', '5.4. Model Serving and Scaling']","[9, 8, 7, 7, 7]"
3213,2. Data Management,9,"['2.2. Dataset Cleaning and Preparation', '1.2. Data Requirements Specification']","[9, 7]"
548,8. Others,10,['8.. Others'],[10]
4522,5. Model Deployment,8,"['5.1. Model Deployment on Cloud', '2.1. Dataset Collection', '5.4. Model Serving and Scaling', '4.5. Model Safety and Compliance', '3.1. Full Parameter Fine-Tuning of a Pre-Trained Model', '2.3. Dataset Labeling and Annotation', '2.4. Feature Engineering']","[8, 7, 7, 6, 5, 4, 4]"
2583,6. System Architecture,9,"['6.5. Platforms/Tools/Studios for FM/LLM/GenAI', '6.1. Model and Prompt Chaining', '2.6. RAG for FM/LLM/GenAI', '3.1. Full Parameter Fine-Tuning of a Pre-Trained Model', '4.1. Model Evaluation']","[9, 7, 6, 5, 5]"
2032,6. System Architecture,9,"['6.4. Guardrails for FM/LLM/GenAI', '5.1. Model Deployment on Cloud']","[9, 7]"
1659,6. System Architecture,9,"['6.2. Workflow Orchestration for FM/LLM/GenAI', '6.1. Model and Prompt Chaining', '6.5. Platforms/Tools/Studios for FM/LLM/GenAI', '7.2. Prompt Engineering Techniques']","[9, 8, 7, 4]"
2013,2. Data Management,9,"['2.5. Specialized Databases for FM/LLM/GenAI', '5.5. Model Quantization, Pruning, or Distillation']","[9, 4]"
633,2. Data Management,9,"['2.6. RAG for FM/LLM/GenAI', '5.1. Model Deployment on Cloud', '5.4. Model Serving and Scaling', '7.2. Prompt Engineering Techniques', '6.1. Model and Prompt Chaining']","[9, 7, 7, 6, 6]"
