id,category,confidence,activities,activities_confidence
2473,3. Model Fine-Tuning,6,"['3.1. Full Parameter Fine-Tuning of a Pre-Trained Model', '5.4. Model Serving and Scaling', '5.1. Model Deployment on Cloud']","[6, 5, 4]"
2142,5. Model Deployment,9,"['5.1. Model Deployment on Cloud', '5.3. Model Monitoring', '6.2. Workflow Orchestration for FM/LLM/GenAI']","[9, 7, 8]"
4565,2. Data Management,8,"['2.5. Specialized Databases for FM/LLM/GenAI', '2.1. Dataset Collection', '2.6. RAG for FM/LLM/GenAI']","[8, 5, 7]"
3456,6. System Architecture,9,"['6.3. FM/LLM/GenAI Agent, Copilot, or Assistant', '2.6. RAG for FM/LLM/GenAI', '5.1. Model Deployment on Cloud', '5.3. Model Monitoring', '4.6. Model Risk and Trust']","[9, 8, 7, 5, 4]"
3213,2. Data Management,9,"['2.2. Dataset Cleaning and Preparation', '2.6. RAG for FM/LLM/GenAI', '4.5. Model Safety and Compliance']","[9, 7, 8]"
548,6. System Architecture,9,"['6.3. FM/LLM/GenAI Agent, Copilot, or Assistant', '4.5. Model Safety and Compliance', '7.2. Prompt Engineering Techniques']","[9, 7, 6]"
4522,3. Model Fine-Tuning,8,"['3.2. Low-Rank Adaptation (LoRA) for Foundation Models', '2.4. Feature Engineering', '6.2. Workflow Orchestration for FM/LLM/GenAI']","[8, 7, 6]"
2583,8. Others,10,['8.. Others'],[10]
2032,2. Data Management,4,"['2.6. RAG for FM/LLM/GenAI', '5.1. Model Deployment on Cloud']","[4, 3]"
1659,6. System Architecture,9,"['6.3. FM/LLM/GenAI Agent, Copilot, or Assistant', '3.1. Full Parameter Fine-Tuning of a Pre-Trained Model']","[9, 8]"
2013,2. Data Management,10,"['2.5. Specialized Databases for FM/LLM/GenAI', '3.1. Full Parameter Fine-Tuning of a Pre-Trained Model']","[10, 7]"
633,6. System Architecture,9,"['6.2. Workflow Orchestration for FM/LLM/GenAI', '2.6. RAG for FM/LLM/GenAI', '6.3. FM/LLM/GenAI Agent, Copilot, or Assistant']","[9, 8, 7]"
4418,5. Model Deployment,8,"['5.5. Model Quantization, Pruning, or Distillation', '2.2. Dataset Cleaning and Preparation', '4.5. Model Safety and Compliance', '4.6. Model Risk and Trust']","[8, 7, 7, 7]"
4421,2. Data Management,10,"['2.5. Specialized Databases for FM/LLM/GenAI', '2.6. RAG for FM/LLM/GenAI']","[10, 8]"
4574,2. Data Management,9,"['2.6. RAG for FM/LLM/GenAI', '2.5. Specialized Databases for FM/LLM/GenAI', '6.2. Workflow Orchestration for FM/LLM/GenAI']","[9, 8, 7]"
113,5. Model Deployment,10,"['5.2. Model Deployment on Device', '5.4. Model Serving and Scaling', '6.2. Workflow Orchestration for FM/LLM/GenAI']","[10, 8, 7]"
5792,5. Model Deployment,10,"['5.1. Model Deployment on Cloud', '5.4. Model Serving and Scaling', '5.5. Model Quantization, Pruning, or Distillation']","[10, 9, 8]"
1146,6. System Architecture,9,"['6.2. Workflow Orchestration for FM/LLM/GenAI', '6.5. Platforms/Tools/Studios for FM/LLM/GenAI', '5.4. Model Serving and Scaling']","[9, 8, 7]"
449,3. Model Fine-Tuning,9,"['3.2. Low-Rank Adaptation (LoRA) for Foundation Models', '2.4. Feature Engineering', '4.3. Model Fairness and Bias', '5.1. Model Deployment on Cloud']","[9, 7, 6, 4]"
114,5. Model Deployment,9,"['5.4. Model Serving and Scaling', '7.2. Prompt Engineering Techniques', '3.1. Full Parameter Fine-Tuning of a Pre-Trained Model']","[9, 8, 7]"
1263,2. Data Management,9,"['2.5. Specialized Databases for FM/LLM/GenAI', '6.1. Model and Prompt Chaining', '6.2. Workflow Orchestration for FM/LLM/GenAI', '6.5. Platforms/Tools/Studios for FM/LLM/GenAI']","[9, 8, 7, 7]"
1179,5. Model Deployment,9,"['5.4. Model Serving and Scaling', '3.1. Full Parameter Fine-Tuning of a Pre-Trained Model', '6.2. Workflow Orchestration for FM/LLM/GenAI']","[9, 6, 7]"
804,2. Data Management,9,"['2.2. Dataset Cleaning and Preparation', '2.1. Dataset Collection', '2.3. Dataset Labeling and Annotation', '2.5. Specialized Databases for FM/LLM/GenAI', '2.6. RAG for FM/LLM/GenAI']","[9, 8, 5, 7, 8]"
124,3. Model Fine-Tuning,9,"['3.2. Low-Rank Adaptation (LoRA) for Foundation Models', '5.1. Model Deployment on Cloud', '3.1. Full Parameter Fine-Tuning of a Pre-Trained Model']","[9, 8, 7]"
204,5. Model Deployment,8,"['5.3. Model Monitoring', '5.1. Model Deployment on Cloud', '5.4. Model Serving and Scaling', '2.2. Dataset Cleaning and Preparation']","[8, 9, 7, 5]"
127,3. Model Fine-Tuning,9,"['3.2. Low-Rank Adaptation (LoRA) for Foundation Models', '5.1. Model Deployment on Cloud', '5.3. Model Monitoring', '5.4. Model Serving and Scaling', '4.5. Model Safety and Compliance']","[9, 8, 7, 8, 7]"
1658,6. System Architecture,9,"['6.2. Workflow Orchestration for FM/LLM/GenAI', '3.3. Reinforcement Learning from Human Feedback (RLHF)', '6.1. Model and Prompt Chaining']","[9, 7, 5]"
141,5. Model Deployment,9,"['5.1. Model Deployment on Cloud', '3.1. Full Parameter Fine-Tuning of a Pre-Trained Model', '5.4. Model Serving and Scaling']","[9, 8, 7]"
2463,5. Model Deployment,9,"['5.2. Model Deployment on Device', '4.1. Model Evaluation', '6.1. Model and Prompt Chaining']","[9, 7, 6]"
745,2. Data Management,8,"['2.5. Specialized Databases for FM/LLM/GenAI', '2.1. Dataset Collection', '2.2. Dataset Cleaning and Preparation', '3.3. Reinforcement Learning from Human Feedback (RLHF)', '6.5. Platforms/Tools/Studios for FM/LLM/GenAI']","[8, 7, 6, 4, 7]"
5666,5. Model Deployment,9,"['5.4. Model Serving and Scaling', '5.1. Model Deployment on Cloud', '5.3. Model Monitoring', '6.2. Workflow Orchestration for FM/LLM/GenAI', '6.5. Platforms/Tools/Studios for FM/LLM/GenAI']","[9, 8, 7, 7, 6]"
173,5. Model Deployment,9,"['5.4. Model Serving and Scaling', '2.5. Specialized Databases for FM/LLM/GenAI', '3.1. Full Parameter Fine-Tuning of a Pre-Trained Model', '6.2. Workflow Orchestration for FM/LLM/GenAI', '6.3. FM/LLM/GenAI Agent, Copilot, or Assistant']","[9, 7, 6, 6, 6]"
