id,category,confidence
524,Others,9
2822,Others,10
3993,Others,10
4926,Others,10
2859,Others,10
2473,SE for FM/LLM/GenAI,9
1206,Others,10
240,Others,10
6237,Others,9
2142,SE for FM/LLM/GenAI,10
4565,SE for FM/LLM/GenAI,8
3345,Others,10
4398,Others,10
1915,SE for FM/LLM/GenAI,9
5073,Others,10
7117,Others,10
7022,FM/LLM/GenAI for SE,10
3388,Others,10
4347,Others,10
4360,Others,10
2885,Others,10
3456,SE for FM/LLM/GenAI,9
4503,Others,10
3213,SE for FM/LLM/GenAI,9
3073,Others,10
3570,FM/LLM/GenAI for SE,10
2973,Others,10
4698,Others,10
6526,Others,10
4434,Others,10
6719,Others,10
3491,Others,10
3369,Others,10
502,Others,10
6475,Others,10
314,Others,10
548,SE for FM/LLM/GenAI,9
445,Others,10
3357,FM/LLM/GenAI for SE,10
957,Others,10
6147,Others,10
996,Others,10
5476,Others,10
1470,Others,10
3059,Others,10
4193,FM/LLM/GenAI for SE,9
71,Others,9
4522,SE for FM/LLM/GenAI,9
4865,Others,10
5460,Others,10
4137,Others,10
2583,SE for FM/LLM/GenAI,9
5139,Others,10
5358,Others,10
6194,Others,10
6464,Others,8
3971,Others,10
2032,SE for FM/LLM/GenAI,10
1659,SE for FM/LLM/GenAI,9
3585,Others,10
3635,Others,10
2013,SE for FM/LLM/GenAI,10
256,Others,10
2720,Others,10
3488,Others,10
590,Others,10
633,SE for FM/LLM/GenAI,10
3115,Others,10
3405,FM/LLM/GenAI for SE,10
1174,Others,10
4171,Others,10
582,Others,10
4010,Others,10
6915,Others,10
513,Others,10
423,Others,10
5838,Others,10
4418,SE for FM/LLM/GenAI,8
4971,FM/LLM/GenAI for SE,8
1647,Others,10
5345,Others,10
3476,Others,10
4421,SE for FM/LLM/GenAI,9
3998,Others,10
5576,Others,10
4574,SE for FM/LLM/GenAI,10
3785,Others,10
113,SE for FM/LLM/GenAI,9
6502,Others,10
6428,Others,10
3081,Others,10
3685,SE for FM/LLM/GenAI,9
6277,FM/LLM/GenAI for SE,10
1677,Others,10
2932,FM/LLM/GenAI for SE,10
5792,SE for FM/LLM/GenAI,9
922,Others,7
1146,SE for FM/LLM/GenAI,10
833,FM/LLM/GenAI for SE,10
6817,Others,10
3421,Others,10
4588,Others,10
6292,Others,10
224,Others,10
6422,Others,10
3574,Others,10
449,SE for FM/LLM/GenAI,9
114,SE for FM/LLM/GenAI,9
6638,Others,10
2701,Others,10
1263,SE for FM/LLM/GenAI,9
6538,Others,10
1179,SE for FM/LLM/GenAI,9
6540,Others,10
497,Others,10
1725,Others,10
5264,Others,10
3018,Others,10
1078,Others,10
3179,Others,10
804,SE for FM/LLM/GenAI,9
6597,Others,9
3762,Others,10
3890,Others,10
5409,Others,10
6552,Others,9
4987,Others,9
6545,SE for FM/LLM/GenAI,9
124,SE for FM/LLM/GenAI,9
6942,Others,10
2757,Others,10
1727,Others,10
4838,Others,10
612,Others,10
204,SE for FM/LLM/GenAI,10
4886,Others,10
6900,Others,10
301,Others,10
4252,Others,10
1636,Others,10
5385,Others,10
6921,Others,10
127,SE for FM/LLM/GenAI,10
3004,Others,10
1658,SE for FM/LLM/GenAI,8
6573,Others,10
141,SE for FM/LLM/GenAI,8
5119,Others,10
3142,Others,10
1408,Others,10
96,SE for FM/LLM/GenAI,7
2463,SE for FM/LLM/GenAI,9
745,SE for FM/LLM/GenAI,9
4704,Others,10
3264,Others,10
6615,Others,10
5666,SE for FM/LLM/GenAI,9
3814,Others,10
4342,Others,10
3260,Others,10
6718,Others,10
4790,Others,10
6878,Others,10
173,SE for FM/LLM/GenAI,9
3892,Others,10
863,SE for FM/LLM/GenAI,10
6988,Others,10
1805,Others,10
1832,Others,10
2532,SE for FM/LLM/GenAI,10
2603,SE for FM/LLM/GenAI,9
5893,Others,10
6621,Others,10
1032,Others,10
