id,category,confidence,activities,activities_confidence
2473,5. Model Deployment,8,"['5.4. Model Serving and Scaling', '4.1. Model Evaluation', '3.1. Full Parameter Fine-Tuning of a Pre-Trained Model']","[8, 7, 6]"
2142,6. System Architecture,8,"['6.5. Platforms/Tools/Studios for FM/LLM/GenAI', '5.1. Model Deployment on Cloud', '7.1. Automated Prompt Generation']","[8, 7, 5]"
4565,8. Others,10,['8.. Others'],[10]
3456,6. System Architecture,9,"['6.2. Workflow Orchestration for FM/LLM/GenAI', '2.1. Dataset Collection', '5.1. Model Deployment on Cloud']","[9, 7, 7]"
3213,2. Data Management,9,"['2.2. Dataset Cleaning and Preparation', '2.4. Feature Engineering']","[9, 7]"
548,6. System Architecture,8,"['6.1. Model and Prompt Chaining', '3.1. Full Parameter Fine-Tuning of a Pre-Trained Model', '4.5. Model Safety and Compliance']","[8, 7, 6]"
4522,3. Model Fine-Tuning,8,"['3.1. Full Parameter Fine-Tuning of a Pre-Trained Model', '2.1. Dataset Collection', '2.2. Dataset Cleaning and Preparation', '4.1. Model Evaluation']","[8, 7, 6, 5]"
2583,8. Others,10,['8.. Others'],[10]
2032,4. Evaluation,9,"['4.5. Model Safety and Compliance', '5.4. Model Serving and Scaling', '6.1. Model and Prompt Chaining']","[9, 7, 6]"
1659,6. System Architecture,8,"['6.1. Model and Prompt Chaining', '3.1. Full Parameter Fine-Tuning of a Pre-Trained Model', '2.1. Dataset Collection']","[8, 7, 5]"
2013,2. Data Management,9,"['2.6. RAG for FM/LLM/GenAI', '6.5. Platforms/Tools/Studios for FM/LLM/GenAI', '4.1. Model Evaluation']","[9, 8, 7]"
633,2. Data Management,9,"['2.6. RAG for FM/LLM/GenAI', '7.2. Prompt Engineering Techniques', '6.2. Workflow Orchestration for FM/LLM/GenAI']","[9, 7, 6]"
4418,5. Model Deployment,8,"['5.1. Model Deployment on Cloud', '2.1. Dataset Collection', '4.1. Model Evaluation', '6.2. Workflow Orchestration for FM/LLM/GenAI']","[8, 6, 6, 5]"
